Serial,stream,service_day,truck,inventory_gal_before_service,inventory_pct_before_service,pickup_gal,pickup_lb,interval_deadline
1520909,Bottles/Cans,1,T1,57.65,38.43,57.65,17.29,1.0
1520925,Compostables,1,T2,19.02,12.68,19.02,22.83,1.0
2502339,Bottles/Cans,1,T1,109.59,73.06,109.59,32.88,1.0
2503766,Waste,1,T3,69.37,46.25,69.37,69.37,5.0
2503768,Waste,1,T3,78.42,52.28,78.42,78.42,6.0
2503773,Bottles/Cans,1,T1,23.83,15.89,23.83,7.15,1.0
1503623,Waste,2,T2,54.62,36.42,54.62,54.62,4.0
1503624,Waste,2,T2,89.3,59.53,89.3,89.3,6.0
1503625,Waste,2,T2,53.3,35.54,53.3,53.3,6.0
1503632,Waste,2,T2,78.67,52.45,78.67,78.67,6.0
1514005,Compostables,2,T3,82.88,55.25,82.88,99.45,5.0
1514010,Compostables,2,T3,116.68,77.79,116.68,140.01,
1514022,Waste,2,T2,68.5,45.66,68.5,68.5,4.0
1514023,Waste,2,T2,61.95,41.3,61.95,61.95,5.0
1514026,Waste,2,T2,84.62,56.42,84.62,84.62,1.0
1514027,Waste,2,T2,34.92,23.28,34.92,34.92,1.0
1514032,Waste,2,T2,73.66,49.1,73.66,73.66,
1515672,Waste,2,T2,91.88,61.26,91.88,91.88,
1515673,Waste,2,T2,85.01,56.67,85.01,85.01,5.0
1515678,Waste,2,T2,71.04,47.36,71.04,71.04,6.0
1515680,Waste,2,T2,110.28,73.52,110.28,110.28,6.0
1515681,Waste,2,T2,63.17,42.12,63.17,63.17,6.0
1515685,Compostables,2,T3,77.91,51.94,77.91,93.49,6.0
1515688,Compostables,2,T3,65.37,43.58,65.37,78.44,4.0
1515692,Waste,2,T2,93.41,62.27,93.41,93.41,6.0
1515694,Waste,2,T2,59.48,39.66,59.48,59.48,
1515695,Waste,2,T2,73.12,48.74,73.12,73.12,5.0
1515696,Waste,2,T2,60.88,40.58,60.88,60.88,6.0
1515700,Waste,2,T2,95.45,63.63,95.45,95.45,5.0
1515704,Waste,2,T2,49.26,32.84,49.26,49.26,4.0
1515710,Waste,2,T2,88.25,58.84,88.25,88.25,5.0
1515715,Compostables,2,T3,109.57,73.05,109.57,131.48,4.0
1515724,Bottles/Cans,2,T1,52.23,34.82,52.23,15.67,
1515732,Bottles/Cans,2,T1,59.27,39.51,59.27,17.78,5.0
1515749,Compostables,2,T3,105.46,70.31,105.46,126.55,
1515753,Compostables,2,T3,59.71,39.81,59.71,71.65,
1515755,Compostables,2,T3,46.73,31.15,46.73,56.07,6.0
1515758,Compostables,2,T3,91.86,61.24,91.86,110.23,6.0
1515759,Compostables,2,T3,59.62,39.74,59.62,71.54,6.0
1515770,Bottles/Cans,2,T1,111.54,74.36,111.54,33.46,4.0
1515780,Waste,2,T2,89.47,59.65,89.47,89.47,
1515785,Compostables,2,T3,69.6,46.4,69.6,83.52,2.0
1515791,Compostables,2,T3,89.3,59.53,89.3,107.16,6.0
1516531,Bottles/Cans,2,T1,58.73,39.16,58.73,17.62,4.0
1516548,Waste,2,T2,86.31,57.54,86.31,86.31,5.0
1516549,Compostables,2,T3,74.32,49.55,74.32,89.19,
1516550,Waste,2,T2,89.95,59.96,89.95,89.95,5.0
1516551,Waste,2,T2,68.23,45.49,68.23,68.23,6.0
1516555,Waste,2,T2,73.25,48.83,73.25,73.25,5.0
1520924,Compostables,2,T3,70.84,47.23,70.84,85.01,2.0
1520928,Compostables,2,T3,69.31,46.21,69.31,83.17,5.0
2503761,Compostables,2,T3,83.92,55.95,83.92,100.71,6.0
500103011,Bottles/Cans,2,T1,110.15,73.43,110.15,33.04,
500103012,Compostables,2,T3,84.75,56.5,84.75,101.7,
1503614,Compostables,3,T1,70.85,47.23,70.85,85.02,0.0
1503628,Waste,3,T3,83.1,55.4,83.1,83.1,5.0
1503633,Waste,3,T3,97.1,64.73,97.1,97.1,6.0
1514002,Compostables,3,T1,78.58,52.39,78.58,94.3,4.0
1514003,Compostables,3,T1,77.18,51.45,77.18,92.62,0.0
1514006,Compostables,3,T1,76.7,51.14,76.7,92.05,5.0
1514007,Compostables,3,T1,71.56,47.7,71.56,85.87,
1514010,Compostables,3,T1,58.34,38.89,58.34,70.01,
1514028,Waste,3,T3,70.73,47.15,70.73,70.73,
1514029,Waste,3,T2,74.48,49.65,74.48,74.48,
1514030,Waste,3,T2,60.17,40.11,60.17,60.17,
1514031,Waste,3,T3,90.57,60.38,90.57,90.57,4.0
1514032,Waste,3,T2,36.83,24.55,36.83,36.83,
1515667,Waste,3,T3,83.38,55.59,83.38,83.38,6.0
1515670,Waste,3,T3,85.04,56.69,85.04,85.04,4.0
1515671,Waste,3,T3,59.52,39.68,59.52,59.52,5.0
1515674,Waste,3,T3,105.42,70.28,105.42,105.42,1.0
1515675,Waste,3,T3,80.14,53.43,80.14,80.14,5.0
1515676,Waste,3,T3,59.45,39.63,59.45,59.45,4.0
1515677,Waste,3,T3,88.33,58.89,88.33,88.33,6.0
1515679,Waste,3,T3,116.19,77.46,116.19,116.19,6.0
1515693,Waste,3,T3,97.81,65.21,97.81,97.81,6.0
1515694,Waste,3,T3,59.48,39.66,59.48,59.48,
1515696,Waste,3,T2,60.88,40.58,60.88,60.88,6.0
1515697,Waste,3,T3,89.73,59.82,89.73,89.73,4.0
1515699,Waste,3,T3,85.64,57.1,85.64,85.64,6.0
1515701,Waste,3,T2,39.41,26.27,39.41,39.41,5.0
1515702,Waste,3,T3,92.31,61.54,92.31,92.31,
1515711,Waste,3,T3,116.66,77.77,116.66,116.66,6.0
1515718,Compostables,3,T1,90.74,60.49,90.74,108.89,6.0
1515742,Waste,3,T3,90.86,60.57,90.86,90.86,1.0
1515743,Waste,3,T3,96.5,64.33,96.5,96.5,1.0
1515744,Waste,3,T2,99.36,66.24,99.36,99.36,6.0
1515746,Waste,3,T3,77.77,51.85,77.77,77.77,
1515747,Waste,3,T3,116.99,78.0,116.99,116.99,6.0
1515750,Compostables,3,T1,69.43,46.29,69.43,83.32,0.0
1515751,Compostables,3,T1,90.01,60.01,90.01,108.01,4.0
1515753,Compostables,3,T1,59.71,39.81,59.71,71.65,
1515783,Waste,3,T2,64.25,42.84,64.25,64.25,6.0
1515784,Compostables,3,T1,75.07,50.04,75.07,90.08,1.0
1515818,Compostables,3,T1,95.97,63.98,95.97,115.17,6.0
1516539,Compostables,3,T1,76.05,50.7,76.05,91.26,6.0
1516553,Waste,3,T3,51.92,34.61,51.92,51.92,4.0
1516554,Waste,3,T3,81.85,54.57,81.85,81.85,1.0
1520913,Waste,3,T3,69.59,46.39,69.59,69.59,5.0
1520915,Waste,3,T3,87.34,58.22,87.34,87.34,2.0
1520916,Waste,3,T2,60.44,40.29,60.44,60.44,4.0
2503765,Waste,3,T3,98.3,65.53,98.3,98.3,6.0
2503768,Waste,3,T3,78.42,52.28,78.42,78.42,6.0
1503616,Compostables,4,T1,88.77,59.18,88.77,106.53,5.0
1503624,Waste,4,T3,59.53,39.69,59.53,59.53,6.0
1503639,Bottles/Cans,4,T2,78.68,52.45,78.68,23.6,5.0
1503644,Compostables,4,T1,50.2,33.47,50.2,60.25,4.0
1514000,Compostables,4,T1,36.98,24.65,36.98,44.37,4.0
1514017,Bottles/Cans,4,T2,114.23,76.15,114.23,34.27,6.0
1514019,Bottles/Cans,4,T2,89.43,59.62,89.43,26.83,5.0
1514026,Waste,4,T3,84.62,56.42,84.62,84.62,1.0
1515669,Waste,4,T3,89.6,59.73,89.6,89.6,4.0
1515672,Waste,4,T3,91.88,61.26,91.88,91.88,
1515673,Waste,4,T3,85.01,56.67,85.01,85.01,5.0
1515680,Waste,4,T3,110.28,73.52,110.28,110.28,6.0
1515682,Compostables,4,T1,26.25,17.5,26.25,31.5,4.0
1515684,Compostables,4,T1,59.12,39.41,59.12,70.94,4.0
1515685,Compostables,4,T1,77.91,51.94,77.91,93.49,6.0
1515689,Compostables,4,T1,76.06,50.7,76.06,91.27,6.0
1515690,Compostables,4,T1,94.11,62.74,94.11,112.93,1.0
1515692,Waste,4,T3,93.41,62.27,93.41,93.41,6.0
1515693,Waste,4,T3,48.91,32.6,48.91,48.91,6.0
1515696,Waste,4,T3,60.88,40.58,60.88,60.88,6.0
1515714,Compostables,4,T1,69.28,46.19,69.28,83.14,5.0
1515719,Compostables,4,T1,75.24,50.16,75.24,90.28,6.0
1515721,Bottles/Cans,4,T2,38.52,25.68,38.52,11.56,4.0
1515747,Waste,4,T3,58.5,39.0,58.5,58.5,6.0
1515749,Compostables,4,T1,105.46,70.31,105.46,126.55,
1515753,Compostables,4,T1,59.71,39.81,59.71,71.65,
1515755,Compostables,4,T1,93.46,62.3,93.46,112.15,6.0
1515756,Compostables,4,T1,89.93,59.95,89.93,107.91,5.0
1515758,Compostables,4,T1,91.86,61.24,91.86,110.23,6.0
1515759,Compostables,4,T1,119.23,79.49,119.23,143.08,6.0
1515780,Waste,4,T3,89.47,59.65,89.47,89.47,
1515786,Compostables,4,T1,104.88,69.92,104.88,125.86,6.0
1515790,Compostables,4,T1,100.23,66.82,100.23,120.28,6.0
1515791,Compostables,4,T1,89.3,59.53,89.3,107.16,6.0
1516549,Compostables,4,T1,74.32,49.55,74.32,89.19,
1520923,Compostables,4,T1,38.25,25.5,38.25,45.9,4.0
2503760,Compostables,4,T1,31.08,20.72,31.08,37.29,4.0
2503762,Compostables,4,T1,85.55,57.03,85.55,102.66,6.0
2503768,Waste,4,T3,39.21,26.14,39.21,39.21,6.0
500103011,Bottles/Cans,4,T2,110.15,73.43,110.15,33.04,
500103012,Compostables,4,T1,84.75,56.5,84.75,101.7,
1514008,Compostables,5,T2,53.08,35.38,53.08,63.69,5.0
1514010,Compostables,5,T2,116.68,77.79,116.68,140.01,
1514023,Waste,5,T3,92.93,61.95,92.93,92.93,5.0
1515667,Waste,5,T3,83.38,55.59,83.38,83.38,6.0
1515686,Compostables,5,T1,89.91,59.94,89.91,107.89,6.0
1515694,Waste,5,T3,118.97,79.31,118.97,118.97,
1515696,Waste,5,T3,60.88,40.58,60.88,60.88,6.0
1515711,Waste,5,T3,116.66,77.77,116.66,116.66,6.0
1515717,Compostables,5,T2,60.85,40.57,60.85,73.02,5.0
1515744,Waste,5,T3,99.36,66.24,99.36,99.36,6.0
1515747,Waste,5,T3,58.5,39.0,58.5,58.5,6.0
1515752,Compostables,5,T2,72.15,48.1,72.15,86.58,5.0
1515753,Compostables,5,T1,59.71,39.81,59.71,71.65,
1515754,Compostables,5,T2,52.6,35.06,52.6,63.12,5.0
1515759,Compostables,5,T1,59.62,39.74,59.62,71.54,6.0
1515789,Compostables,5,T1,69.89,46.59,69.89,83.87,5.0
1516541,Compostables,5,T2,47.75,31.83,47.75,57.3,5.0
1516544,Compostables,5,T2,69.32,46.21,69.32,83.18,5.0
1516545,Compostables,5,T1,60.09,40.06,60.09,72.11,5.0
1516547,Waste,5,T3,70.67,47.11,70.67,70.67,5.0
2503764,Compostables,5,T1,77.99,51.99,77.99,93.59,5.0
1515741,Waste,6,T3,57.8,38.53,57.8,57.8,6.0
1515769,Bottles/Cans,6,T1,141.87,94.58,141.87,42.56,6.0
1516542,Compostables,6,T2,51.93,34.62,51.93,62.32,6.0
1520911,Waste,6,T3,27.63,18.42,27.63,27.63,6.0
1520914,Waste,6,T3,37.96,25.31,37.96,37.96,6.0
1520917,Waste,6,T3,85.35,56.9,85.35,85.35,6.0
